"","Tomorrow","Today","PriorEnc","PriorAdm","PriorDis"
"192","(140,150]",145,166,27,32
"193","(160,170]",146,172,38,32
"194","(160,170]",163,168,31,39
"195","(160,170]",169,170,39,13
"196","(150,160]",166,192,39,37
"197","(130,140]",155,183,31,39
"199","(130,140]",128,155,26,39
"200","(130,140]",135,151,38,33
"201","(140,150]",137,159,40,27
"202","(130,140]",144,159,29,27
"203","(150,160]",139,162,32,32
"204","(140,150]",151,159,31,15
"205","(140,150]",150,174,31,30
"206","(140,150]",150,173,32,32
"207","(150,160]",147,180,41,26
"208","(150,160]",153,183,33,38
"209","(160,170]",157,171,28,22
"210","(140,150]",165,181,37,33
"211","(130,140]",149,178,32,40
"214","(140,150]",124,155,39,40
"215","(140,150]",145,145,33,28
"216","(140,150]",149,156,41,16
"217","(150,160]",145,169,33,33
"218","(150,160]",158,175,46,27
"219","(130,140]",154,169,21,34
"220","(140,150]",135,170,35,36
"221","(140,150]",149,167,32,37
"222","(150,160]",150,162,37,23
"223","(150,160]",156,170,29,22
"224","(150,160]",160,185,39,34
"225","(160,170]",160,182,33,34
"226","(140,150]",166,191,44,34
"227","(140,150]",147,190,34,49
"228","(150,160]",148,175,37,33
"229","(160,170]",152,172,32,25
"230","(150,160]",161,172,26,19
"231","(160,170]",154,178,30,51
"232","(150,160]",163,169,41,17
"233","(140,150]",158,185,34,34
"234","(140,150]",148,185,34,50
"235","(150,160]",150,179,45,36
"236","(150,160]",157,177,35,29
"237","(150,160]",156,181,32,25
"238","(160,170]",153,186,33,43
"239","(140,150]",163,183,42,33
"240","(130,140]",142,176,31,50
"241","(140,150]",136,164,37,38
"242","(140,150]",142,156,31,30
"243","(140,150]",142,175,39,32
"244","(140,150]",149,171,38,34
"245","(140,150]",143,171,36,44
"246","(130,140]",148,171,43,36
"247","(140,150]",134,168,35,39
"250","(130,140]",126,147,31,22
"251","(140,150]",140,152,29,13
"252","(140,150]",142,162,27,27
"253","(150,160]",149,169,37,37
"254","(140,150]",153,179,46,33
"255","(150,160]",150,180,32,40
"256","(150,160]",153,173,36,38
"257","(150,160]",155,165,33,23
"258","(140,150]",152,159,23,21
"259","(140,150]",144,167,27,33
"260","(130,140]",148,171,37,31
"261","(140,150]",134,173,38,45
"262","(140,150]",141,163,34,29
"263","(150,160]",143,175,45,38
"264","(160,170]",158,167,32,26
"265","(150,160]",163,177,32,16
"266","(150,160]",156,194,42,48
"267","(130,140]",160,180,39,28
"269","(130,140]",130,163,32,39
"270","(140,150]",138,167,32,39
"271","(130,140]",147,158,32,19
"272","(140,150]",135,166,28,24
"273","(150,160]",148,160,22,35
"274","(160,170]",155,159,34,24
"275","(140,150]",165,178,42,29
"276","(140,150]",149,178,32,40
"277","(150,160]",147,171,33,32
"278","(150,160]",153,169,32,28
"279","(140,150]",157,172,33,22
"280","(130,140]",150,170,22,38
"281","(140,150]",137,167,31,36
"282","(140,150]",144,160,32,34
"283","(130,140]",141,160,37,39
"284","(130,140]",131,154,38,38
"285","(140,150]",139,152,34,27
"286","(150,160]",146,158,35,25
