Date,Weekday,7AM Census,Total Encounters,Admissions,Discharges ,Encounters 
2/14/16,Sun,159,174,34,18,173
2/15/16,Mon,165,185,32,40,183
2/16/16,Tue,160,183,41,33,183
2/17/16,Wed,162,188,46,30,188
2/18/16,Thu,170,184,25,53,184
2/19/16,Fri,150,164,35,36,163
2/20/16,Sat,137,163,32,30,161
2/21/16,Sun,144,164,32,21,162
2/22/16,Mon,151,166,27,22,165
2/23/16,Tue,166,182,38,25,181
2/24/16,Wed,170,188,32,27,187
2/25/16,Thu,174,199,29,27,188
2/26/16,Fri,174,171,41,50,199
2/27/16,Sat,158,178,19,23,173
2/28/16,Sun,159,175,32,17,177
2/29/16,Mon,178,,29,38,182
3/1/16,Tue,164,,34,37,183
3/2/16,Wed,137,,32,43,173
3/3/16,Thu,142,,32,32,162
3/4/16,Fri,145,,38,32,167
3/5/16,Sat,149,,33,25,169
3/6/16,Sun,147,,26,28,169
3/7/16,Mon,153,,38,37,176
3/8/16,Tue,153,,29,27,169
3/9/16,Wed,153,,43,42,182
3/10/16,Thu,153,,27,32,166
3/11/16,Fri,145,,38,32,172
3/12/16,Sat,146,,31,39,168
3/13/16,Sun,163,,39,13,170
3/14/16,Mon,169,,39,37,192
3/15/16,Tue,166,,31,39,183
3/16/16,Wed,155,,26,41,171
3/17/16,Thu,138,,26,39,155
3/18/16,Fri,128,,38,33,151
3/19/16,Sat,135,,40,27,159
3/20/16,Sun,137,,29,27,159
3/21/16,Mon,144,,32,32,162
3/22/16,Tue,139,,31,15,159
3/23/16,Wed,151,,31,30,174
3/24/16,Thu,150,,32,32,173
3/25/16,Fri,150,,41,26,180
3/26/16,Sat,147,,33,38,183
3/27/16,Sun,153,,28,22,171
3/28/16,Mon,157,,37,33,181
3/29/16,Tue,165,,32,40,178
3/30/16,Wed,149,,30,39,167
3/31/16,Thu,140,,33,44,158
4/1/16,Fri,127,,39,40,155
4/2/16,Sat,124,,33,28,145
4/3/16,Sun,145,,41,16,156
4/4/16,Mon,149,,33,33,169
4/5/16,Tue,145,,46,27,175
4/6/16,Wed,158,,21,34,169
4/7/16,Thu,154,,35,36,170
4/8/16,Fri,135,,32,37,167
4/9/16,Sat,149,,37,23,162
4/10/16,Sun,150,,29,22,170
4/11/16,Mon,156,,39,34,185
4/12/16,Tue,160,,33,34,182
4/13/16,Wed,160,,44,34,191
4/14/16,Thu,166,,34,49,190
4/15/16,Fri,147,,37,33,175
4/16/16,Sat,148,,32,25,172
4/17/16,Sun,152,,26,19,172
4/18/16,Mon,161,,30,51,178
4/19/16,Tue,154,,41,17,169
4/20/16,Wed,163,,34,34,185
4/21/16,Thu,158,,34,50,185
4/22/16,Fri,148,,45,36,179
4/23/16,Sat,150,,35,29,177
4/24/16,Sun,157,,32,25,181
4/25/16,Mon,156,,33,43,186
4/26/16,Tue,153,,42,33,183
4/27/16,Wed,163,,31,50,176
4/28/16,Thu,142,,37,38,164
4/29/16,Fri,136,,31,30,156
4/30/16,Sat,142,,39,32,175
5/1/16,Sun,142,,38,34,171
5/2/16,Mon,149,,36,44,171
5/3/16,Tue,143,,43,36,171
5/4/16,Wed,148,,35,39,168
5/5/16,Thu,134,,27,30,154
5/6/16,Fri,144,,34,40,157
5/7/16,Sat,119,,31,22,147
5/8/16,Sun,126,,29,13,152
5/9/16,Mon,140,,27,27,162
5/10/16,Tue,142,,37,37,169
5/11/16,Wed,149,,46,33,179
5/12/16,Thu,153,,32,40,180
5/13/16,Fri,150,,36,38,173
5/14/16,Sat,153,,33,23,165
5/15/16,Sun,155,,23,21,159
5/16/16,Mon,152,,27,33,167
5/17/16,Tue,144,,37,31,171
5/18/16,Wed,148,,38,45,173
5/19/16,Thu,134,,34,29,163
5/20/16,Fri,141,,45,38,175
5/21/16,Sat,143,,32,26,167
5/22/16,Sun,158,,32,16,177
5/23/16,Mon,163,,42,48,194
5/24/16,Tue,156,,39,28,180
5/25/16,Wed,160,,26,57,177
5/26/16,Thu,135,,32,39,163
5/27/16,Fri,130,,32,39,167
5/28/16,Sat,138,,32,19,158
5/29/16,Sun,147,,28,24,166
5/30/16,Mon,135,,22,35,160
5/31/16,Tue,148,,34,24,159
6/1/16,Wed,155,,42,29,178
6/2/16,Thu,165,,32,40,178
6/3/16,Fri,149,,33,32,171
6/4/16,Sat,147,,32,28,169
6/5/16,Sun,153,,33,22,172
6/6/16,Mon,157,,22,38,170
6/7/16,Tue,150,,31,36,167
6/8/16,Wed,137,,32,34,160
6/9/16,Thu,144,,37,39,160
6/10/16,Fri,141,,38,38,154
6/11/16,Sat,131,,34,27,152
6/12/16,Sun,139,,35,25,158
6/13/16,Mon,146,,34,32,168
6/14/16,Tue,153,,34,32,169
6/15/16,Wed,146,,32,33,164
6/16/16,Thu,151,,40,32,171
6/17/16,Fri,159,,40,41,185
6/18/16,Sat,147,,37,40,179
6/19/16,Sun,145,,22,18,161
6/20/16,Mon,152,,37,31,176
6/21/16,Tue,162,,37,36,185
6/22/16,Wed,162,,33,38,181
6/23/16,Thu,152,,30,49,169
6/24/16,Fri,128,,28,39,148
6/25/16,Sat,136,,39,23,151
6/26/16,Sun,146,,39,20,162
6/27/16,Mon,148,,26,32,155
6/28/16,Tue,140,,32,28,173
6/29/16,Wed,151,,35,27,164
6/30/16,Thu,151,,30,34,178
7/1/16,Fri,150,,34,28,174
7/2/16,Sat,157,,25,14,167
7/3/16,Sun,165,,34,24,183
7/4/16,Mon,174,,36,26,197
7/5/16,Tue,183,,36,26,202
7/6/16,Wed,168,,37,49,193
7/7/16,Thu,154,,37,32,178
7/8/16,Fri,158,,35,42,180
7/9/16,Sat,149,,32,23,168
7/10/16,Sun,156,,24,18,168
7/11/16,Mon,156,,29,29,179
7/12/16,Tue,166,,43,36,193
7/13/16,Wed,172,,30,38,185
7/14/16,Thu,154,,25,39,170
7/15/16,Fri,138,,29,42,164
7/16/16,Sat,128,,21,22,140
7/17/16,Sun,129,,22,21,141
7/18/16,Mon,131,,33,34,154
7/19/16,Tue,129,,32,24,149
7/20/16,Wed,141,,37,33,162
7/21/16,Thu,140,,31,29,161
7/22/16,Fri,140,,25,38,156
7/23/16,Sat,124,,22,28,137
7/24/16,Sun,131,,31,14,139
7/25/16,Mon,136,,36,25,157
7/26/16,Tue,155,,42,36,178
7/27/16,Wed,153,,38,24,176
7/28/16,Thu,160,,36,29,180
7/29/16,Fri,164,,41,35,199
7/30/16,Sat,161,,26,31,188
7/31/16,Sun,172,,27,22,183
8/1/16,Mon,172,,33,25,190
8/2/16,Tue,176,,29,48,192
8/3/16,Wed,153,,33,45,180
8/4/16,Thu,142,,30,33,166
8/5/16,Fri,153,,43,26,170
8/6/16,Sat,143,,30,33,175
8/7/16,Sun,157,,24,18,167
8/8/16,Mon,162,,38,29,185
8/9/16,Tue,163,,30,34,187
8/10/16,Wed,164,,32,35,181
8/11/16,Thu,156,,27,29,173
8/12/16,Fri,153,,29,37,170
8/13/16,Sat,158,,28,9,162
8/14/16,Sun,166,,29,17,182
8/15/16,Mon,170,,31,38,193
8/16/16,Tue,163,,27,28,180
8/17/16,Wed,163,,26,40,179
8/18/16,Thu,150,,25,40,162
8/19/16,Fri,133,,28,37,147
8/20/16,Sat,140,,39,18,151
8/21/16,Sun,162,,35,13,167
8/22/16,Mon,160,,28,27,179
8/23/16,Tue,166,,39,27,191
